UF,Famílias Contempladas
Acre,131349
Alagoas,533978
Amapá,121902
Amazonas,656134
Bahia,2456545
Ceará,1458539
Distrito Federal,180131
Espírito Santo,306094
Goiás,506310
Maranhão,1223930
Mato Grosso,257108
Mato Grosso do Sul,205898
Minas Gerais,1583524
Pará,1346663
Paraíba,667741
Paraná,611061
Pernambuco,1576152
Piauí,596143
Rio de Janeiro,1635085
Rio Grande do Norte,499337
Rio Grande do Sul,683171
Rondônia,131622
Roraima,78798
Santa Catarina,232663
São Paulo,2502658
Sergipe,377028
Tocantins,156770
