year,state,total_votes_right,total_votes_left,percentage_right
2014,AC,243677.04129999995,138976.9587,0.6368077722955986
2014,AL,574320.8484000001,941461.1515999998,0.37889409453338285
2014,AM,556545.3383000001,1033443.6617,0.3500309362517603
2014,AP,142780.5395,227508.46050000002,0.38559217125002365
2014,BA,2153110.8677000003,5059856.132300001,0.2985055758192156
2014,CE,1068169.2839000002,3523015.7161,0.2326565546585468
2014,DF,946171.2119999999,582376.7880000001,0.619
2014,ES,1065485.2832999998,912400.7167,0.5386990369010145
2014,GO,1819143.6240000003,1365995.3759999997,0.5711347680587882
2014,MA,667823.023,2476031.977,0.21242169979213418
2014,MG,5432463.3568,5981082.6432,0.4759663085249755
2014,MS,762800.9925000002,591010.0074999998,0.5634471816967067
2014,MT,865610.5056,717424.4944,0.5468044014187937
2014,PA,1561063.2286,2104144.7714,0.4259139532053843
2014,PB,768476.1191,1381309.8809,0.3574663334397005
2014,PE,1460277.7658000002,3438823.2342,0.29807055739410154
2014,PI,384156.2686,1385302.7314,0.21710379760141377
2014,PR,3769051.0150999995,2409710.9848999996,0.6100010026442191
2014,RJ,3685121.3428999996,4489626.657100001,0.4507932651746573
2014,RN,516486.7672,1201814.2327999999,0.3005799142292299
2014,RO,442698.02499999997,364231.97500000003,0.5486201095510143
2014,RR,139752.1152,97422.88480000001,0.5892362820702013
2014,RS,3455213.2925,2998498.7074999996,0.5353838678422589
2014,SC,2472137.4570999998,1354802.5429,0.6459828105745059
2014,SE,380653.3315,772465.6684999999,0.3301075877684783
2014,SP,15311667.5703,8492819.429699998,0.6432261098632371
2014,TO,292176.5295,428786.4705,0.40525870190287155
2018,AC,294898.6753,86984.32470000003,0.7722225794287779
2018,AL,610093.8521,912071.1479000001,0.40080664849080094
2018,AM,885400.132,875809.868,0.5027226350066147
2018,AP,185095.381,183609.619,0.5020148384209598
2018,BA,2060380.0199000002,5484769.9801,0.2730734339145014
2018,CE,1384592.4263999998,3407333.5736000002,0.28894278133677354
2018,DF,1080411.1335,463253.86650000006,0.6999
2018,ES,1276611.4943999997,747793.5055999998,0.6306107198905357
2018,GO,2124741.7402999997,1118087.2597,0.6552123902617127
2018,MA,886563.8653000001,2428972.1347000003,0.26739684482388365
2018,MG,6100101.6354,4383047.3646,0.5818959203384403
2018,MS,872051.4036999998,465003.5963,0.6522180491453231
2018,MT,1085823.2145,549007.7855,0.6641807101162138
2018,PA,1742189.0019000003,2112705.9981,0.45194201188359223
2018,PB,782142.1238,1451278.8761999998,0.3501991446305913
2018,PE,1661161.9329,3297931.0670999996,0.3349729341434008
2018,PI,422095.6994,1417095.3006,0.22950074211976895
2018,PR,4224419.9235,1948823.0765,0.6843112969147658
2018,RJ,5669059.546200001,2673563.4538,0.6795296330902164
2018,RN,652561.6875,1131037.3125,0.36586793752407354
2018,RO,594969.6501999999,229352.34979999997,0.721768496048874
2018,RR,183267.65269999995,72866.3473,0.7155147411120741
2018,RS,3893740.2118,2263209.7882,0.6324138107017273
2018,SC,2966239.3324,940769.6676,0.7592097516028247
2018,SE,364859.4338,759060.5662,0.3246311426080148
2018,SP,15306020.501799999,7212427.498199999,0.6797102758502717
2018,TO,356682.8683,371595.1317,0.48976197042887465
2022,AC,287748.81279999996,121562.18720000001,0.7030077686649027
2022,AL,687826.7463000001,976809.2536999999,0.4131994900386632
2022,AM,961741.7351,1004929.2649,0.4890201437352765
2022,AP,200547.1418,189917.8582,0.5136110580973967
2022,BA,2357030.4110000003,6097970.589,0.2787735224395598
2022,CE,1634476.4385000002,3807989.5615,0.3003190903719013
2022,DF,1041331.0269999999,729338.9730000001,0.5881
2022,ES,1282142.0784999998,926795.9214999999,0.580433710000009
2022,GO,2193045.4444999998,1542127.5555,0.5871335663702859
2022,MA,1082750.2832,2668404.7168,0.2886445063453789
2022,MG,6141312.692,6190941.307999999,0.4979878529910266
2022,MS,880605.4615999999,599581.5384000001,0.5949285202477794
2022,MT,1216728.575,652789.4249999998,0.6508247446668072
2022,PA,2073895.6955,2509077.3045,0.4525219100134345
2022,PB,802501.7849999999,1601940.2149999999,0.33375801329372884
2022,PE,1798831.1797,3641033.8203,0.330675702374967
2022,PI,467066.07560000004,1551394.9244,0.23139712662270912
2022,PR,4159340.5552000003,2506626.4447999997,0.6239665685713716
2022,RJ,5403892.4204,4156326.5796,0.5652477647635478
2022,RN,711381.003,1326802.997,0.3490268803012878
2022,RO,633235.6907,262918.3093,0.7066148125210623
2022,RR,213518.3556,67121.6444,0.7608265236602053
2022,RS,3733183.2903,2891847.7097,0.5634967278341791
2022,SC,3047628.2199000004,1351925.7800999999,0.6927129931579429
2022,SE,421086.4476,862983.5524000002,0.32793106886696205
2022,SP,14216588.1745,11519803.8255,0.5523924322609012
2022,TO,411652.28839999996,434599.7116,0.4864417317772956
